Key,English(en),Spanish(es),German(de),French(fr),Italian(it),Turkish (Turkey)(tr-TR),Chinese (Simplified)(zh-CN)
View Credits,View Credits,Ver Créditos,Credits Anzeigen,Voir Les Crédits,Visualizza Crediti,Kredileri Görüntüle,查看制作人员
Contact Us,Contact Us,Contáctenos,Kontaktieren Sie Uns,Contactez-Nous,Contattaci,Bize Ulaşın,联系我们
Project manager & executive producer,Project Manager & Executive Producer,Director De Proyecto Y Productor Ejecutivo,Projektmanager Und Ausführender Produzent,Chef De Projet Et Producteur Exécutif,Responsabile Del Progetto E Produttore Esecutivo,Proje Yöneticisi Ve Yönetici Yapımcı,项目经理兼执行制片人
Art & Design,Art & Design,Arte Y Diseño,Kunst & Design,Art Et Conception,Arte E Design,Sanat Ve Tasarım,艺术与设计
Game Engineer,Game Engineer,Ingeniero De Juegos,Spieleingenieur,Ingénieur De Jeu,Ingegnere Di Gioco,Oyun Mühendisi,游戏工程师
SFX & Music,Sfx & Music,Efectos Especiales Y Música,Sfx & Musik,Effets Sonores Et Musique,Effetti Sonori E Musica,Efekt Ve Müzik,音效和音乐
Game Designer,Game Designer,Diseñador De Juegos,Spieledesigner,Concepteur De Jeux,Progettista Di Giochi,Oyun Tasarımcısı,游戏设计师
Business Lead,Business Lead,Líder De Negocios,Geschäftsleiter,Responsable D'Affaires,Responsabile Aziendale,İş Lideri,业务主管
And Special Thanks to Yılmaz Bostan,And Special Thanks To Yılmaz Bostan,Y Un Agradecimiento Especial A Yılmaz Bostan,Und Besonderer Dank Geht An Yılmaz Bostan,Et Un Merci Spécial À Yılmaz Bostan,E Un Ringraziamento Speciale A Yılmaz Bostan,Ve Yılmaz Bostan'A Özel Teşekkürler,特别感谢 Yılmaz Bostan
Reward:,Reward:,Premio:,Belohnen:,Récompense:,Ricompensa:,Ödül:,报酬：
Objective Completed!,Objective Completed!,¡Objetivo Completado!,Ziel Erreicht!,Objectif Atteint !,Obiettivo Completato!,Hedef Tamamlandı!,目标完成！
Owl,Owl,Búho,Eule,Hibou,Gufo,Baykuş,猫头鹰
Dog,Dog,Perro,Hund,Chien,Cane,Köpek,狗
Narwhal,Narwhal,Narval,Narwal,Narval,Narvalo,Deniz Gergedanı,独角鲸
Rabbit,Rabbit,Conejo,Kaninchen,Lapin,Coniglio,Tavşan,兔子
Panda,Panda,Panda,Panda,Panda,Panda,Panda,熊猫
Penguin,Penguin,Pingüino,Pinguin,Manchot,Pinguino,Penguen,企鹅
Zebra,Zebra,Cebra,Zebra,Zèbre,Zebra,Zebra,斑马
Rhino,Rhino,Rinoceronte,Nashorn,Rhinocéros,Rinoceronte,Gergedan,犀牛
Gorilla,Gorilla,Gorila,Gorilla,Gorille,Gorilla,Goril,大猩猩
Ocean,Ocean,Océano,Ozean,Océan,Oceano,Okyanus,海洋
Polandball,Polandball,Poloniaball,Polandball,Pologneball,Poloniaball,Polonyatopu,波兰球
Moon,Moon,Luna,Mond,Lune,Luna,Ay,月亮
Get to {0} Total Score,Get To {0} Total Score,Llegar A {0} Puntuación Total,Erreichen Sie Die Gesamtpunktzahl Von {0},Obtenez {0} Score Total,Raggiungi {0} Punteggio Totale,{0} Toplam Puana Ulaşın,总分达到 {0}
Get to {0} Total Coin,Get To {0} Total Coin,Llegar A {0} Moneda Total,Erreiche Insgesamt {0} Münzen,Obtenez {0} Pièces Totales,Raggiungi {0} Monete Totali,{0} Toplam Paraya Ulaşın,获得 {0} 枚金币
Get to {0} Total Time,Get To {0} Total Time,Llegar Al {0} Tiempo Total,Erreichen Sie Die Gesamtzeit Von {0},Arriver À {0} Durée Totale,Raggiungi {0} Tempo Totale,{0} Toplam Süreye Ulaşın,总时间达到 {0}
{0} Coins,{0} Coins,{0} Monedas,{0} Münzen,{0} Pièces,{0} Monete,{0} Para,{0}枚硬币
Score: {0},Score: {0},Puntuación: {0},Punktzahl: {0},Note : {0},Punteggio: {0},Puan: {0},得分：{0}
